relative_path,file_size_bytes,sha256,created_at
batch\accounts\account_snapshot_2026-01-01.csv,600986,8a2e7171429a80c88c9af5c155a2ae8e527221581d67eb142a6d1f3dd56b8b9c,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-01.csv,502823,b9add374ac4e9b18e7d43644cd31031621579233eeb49c4569001316b20b8ebb,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-02.csv,502643,751565d8fbebb78296f5dea6eacd38a0ad75b979f4d7de3d8feb0ab234e9aabc,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-03.csv,502754,c8c9acb5276f108cdb2d6eaebcc0f907b4637bd31534b651d8de957f63c89d85,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-04.csv,502277,629abf538ca950387f4cc59f7b667026f4595b0ac922584c77bb6d02fa698e0e,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-05.csv,502407,95664aa32102a21c821c28ed4fb800ffd0c001b20d927ff503b1eeba61190a31,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-06.csv,502536,12ef202b1265885bf6825c039f7772a643c2341ca37e0ce9f457e6492c1fc630,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-07.csv,502920,ebae06531ff30a3f4f8aff088893f4ce2005a89f4a61860723272e5c1467d932,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-08.csv,502820,efab0863876b4d0f25d856738b7a30e56b1a608ef71aacc3303ef76c2e940bea,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-09.csv,502698,2506b92313714c91e3cab9e5e4e1084295e4931f118aea0768612cb43d9f5887,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-10.csv,502815,b9b96a51edaef69d0f86779eb9f156b476b118269e088e9d56ed9bf719b9bbce,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-11.csv,502460,3b3e8b4a2d62d30a03820de0186da00c20388d838cd1400fb425a509068c7e9f,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-12.csv,502630,9e5dff566131047382c4909f5e2231398feee854ffe2b2b9066d366cf85ecd8b,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-13.csv,502498,73fb425263b96c1e10a1352346aa0bcf4af808d5e4781a1f6598e5940de67a44,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-14.csv,502227,7963872fc71f1dd649981ff3f3c7b4de0c52f00b217cd6da472209068bc793c1,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-15.csv,502691,3ebfe4c6555e671900161bad8342b395396e8cb7c3743dbf655c14852190b063,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-16.csv,502511,3dc7e2ec9998eb579114ad995306caf5f82e834993b3dc0d3003aab06c7192da,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-17.csv,502497,88300862e0ae6e03782f8e24a43fef54e4237b0bc750e42ae31ef3c00762140a,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-18.csv,502423,feb04e46ba6823af0168dce45c7d06244706b7be3d8159f520b3ccf62710a045,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-19.csv,502431,6898834ca95ff10dd7c6d6ebd0130d7a93b840bc3d10e6514d7afffcbce2032d,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-20.csv,502822,4775e89348b9eff3d5427dd46cce6288c32e62fe08a0eb917629a32954f3a567,2026-07-23T08:26:13+00:00
batch\balances\account_balances_2026-01-21.csv,502796,c9232011f077b8f508ef0f93d0c0dcc47f3c85773f2cc83f6a3db4d17a8ea8b8,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-22.csv,502258,05cba830efec418f98eb6076ffbfdaecebfa9751cf760b71be47193b52ab0a61,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-23.csv,502572,c62230d2fc9168f7e1f6c839a7ddf8235e0ad18724b06224e62cb8dc394d8c61,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-24.csv,502843,e40133c06235038d288673f35c565c9eed469eef01e2702735f50bd019c8bce1,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-25.csv,502673,2cce900013233d8fcce9c33b7b6b914751e4ebefef33a84799c2ed0998add0e7,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-26.csv,503040,a3fab59a1057d0f16b2e95748a3ec764f663e2573b18c591c7029020390e3252,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-27.csv,502270,de25ed703c3f6831e7c4fae57b5b8c3ac242d8be2d12d6a0ccd2419a3ef2f5ca,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-28.csv,502885,480b306527b57d689b9f154847d9c4aa030159a75ff2386a2c9ee8099ed01cb7,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-29.csv,502567,c6401c5bac910327da279d2259e2ac1ccc6e780233766201f273ae3eb0ef38fd,2026-07-23T08:26:14+00:00
batch\balances\account_balances_2026-01-30.csv,502151,be796e4a2aeee38eeff98c407dea08dbe7443ada6fad768a8ce8d83c142a71d0,2026-07-23T08:26:14+00:00
batch\customers\customer_snapshot_2026-01-01.csv,400367,bd99e6f9f896da89b24708f26a65e35f7fa9b6313292705343cf14d084d04718,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-01.csv,2542,893f7b4eb785b379354932d92115948010a34f96a8ab0590a142d3817cdc8a9a,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-02.csv,2541,9b4dcc2affee1577b06ebfd823193aec86423e6d2d6cae685143ad6e42e84362,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-03.csv,2547,ee24cc886b653fdc0d51678cea34a9b5e432a884ba4b36a08f6304f5e3321e31,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-04.csv,2544,006a0f893287b8e1e25a4019f3b52537d801489a80c404a7b7dcf9a4f48ef97e,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-05.csv,2540,dadd2a1f7fe1d744f96de481a953cfb7271477b6bff6948e94df4c19661a5782,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-06.csv,2546,ff1a45bf2fcf0d095702e9d1973c6b4ee324720b3290d141213459fb24f4a7fc,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-07.csv,2540,4634d9cd034e72c90c611409ec22f73aebd6cffb430807dbf4e7889ee361fa61,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-08.csv,2543,3a13812a1470004b917aee9b820932d101fee1dd82dd89dcd85338b6e03eedb7,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-09.csv,2546,141955ad6041e13f463caaf0458a45427536a5205447944d4327eb586a20e6a5,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-10.csv,2544,8ea248e58d113a6caad5082ce589abe5400e8b65bfc8daf8ed76d63bde15f44d,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-11.csv,2544,801e2ba9dd4c8e3b6e2ff6e47ef9a269db4460682fcf7c97f776942d7ab89dc0,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-12.csv,2546,a0d9c71938f5aa71a544d7d9da7046e4cfdbca7eb1c5056eafece3dad1a0aad9,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-13.csv,2542,c1533d4850f0ea0c79398ea030924f592e0a320ec4334a6b596c0fb5af5869f3,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-14.csv,2542,eed9eb60141c6d7681ee1e1fe72de3ea5a536d4c057a8d7e9fdf898e90ce37ff,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-15.csv,2541,e16f362bf2b0273ab597b91825a0d3f88f23d90f294ab736a969f7227b5f86d6,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-16.csv,2545,40da9def3132194eeb02705b5428cbf240d4154e26736ea4eabec10fa9d2ae46,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-17.csv,2547,05f9617df4388f49f097f1074bab1f2f1497a53c70482fc2695f256b1be87143,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-18.csv,2546,b4b8860a86148cc87b1ded12ca3d62e665eb4ce94457639d07c683af142a2834,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-19.csv,2543,39d7fc54177e28ac046fe24882477f30393597ce14405a853a917bcefa82a2e4,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-20.csv,2542,4f85ac15896a0771565bf4b70cb63578af09b5ace3d22024750ff92a48b5708d,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-21.csv,2544,a298efbf3f22ba54d542bda759c79b34a73e285760941847f8fe873b9e2e9c52,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-22.csv,2545,124f82cb7ef8c3211c21f8791b1c8f47ba8fcd81944ffeba485bd869fa4b63d5,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-23.csv,2546,a34700e5e4345c89fb4c8fd1324d9a9be9b4fa4e3c0c8f51f3086671074b4a3f,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-24.csv,2542,73e938abe40e65cd021d6cddcf08913adb9e56d6d374cba0ad62f837ae5b118d,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-25.csv,2542,2bc1734c8a0f5189d3fa560e29b3f705e845c1beb7a9077864e2c0aabd83e68f,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-26.csv,2543,ed59949e9cd8c94bc0c27c284d91340e642f1effdb7c6720e1eee8ee7f333479,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-27.csv,2544,4568d74ee56a5935860fd8fefa23d01af4ccb1782d5233436debb3a6b9f381e4,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-28.csv,2546,7caaea1668e64d34f024571605a969852c72ce3b8927b057678ff14ffb586b91,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-29.csv,2544,e9a289db5f374fa09d0f56cf402a1a70b671ec7e70b0a7ca3c1600d078276e40,2026-07-23T08:26:14+00:00
batch\settlements\settlement_2026-01-30.csv,2544,c6fac8b5bd8d443f791dfa13e27b352135131fa2c685f855f361de3111d8b1c3,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-01.csv,2866890,f6ed4317c8092cc63d3c47a0c4d15d89327015f2cf93642d5615e97aeb19f98d,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-02.csv,2868100,4f5fdf0a24557e93b73b56c621cd000a90eb44704acd3fea7ba3aeb0ea6d071a,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-03.csv,2869333,960dd382f916d6fe1e84b561bd2840c6c0da0f876c66cb0a2ce92eda57c22382,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-04.csv,2867147,5060afa1b423920404ee2c880809d5c415f7be5543fb370b3f50c4aaf67bf5d2,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-05.csv,2867206,882242dfb3bd97266d31d082893387a115ef538df5737c11e7c82c28798e9d79,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-06.csv,2868828,90d7a69f0bfa71cab9e13882685f53ee30b89c6a364e2f066d066a058aead2c4,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-07.csv,2866257,52d0cdc7c218c22bba4e8d86d393496362a9d7cfa51e5a65efe0e96390ad6ef1,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-08.csv,2869231,29a3dee4c4c11c9f51b295d25fbd63243d6ed904fb97d7bf7c2e2b0a99942952,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-09.csv,2867422,cb967a703db269574f56a84f924aa5edd425585f0bd9d8740a77b585cd8f045c,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-10.csv,2866941,9afe3422405048168199c5426ce18f3243b0152db9a5c81d9a0564470f404c8d,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-11.csv,2868735,50b36d1459468df2451be7e20d9459b306d5562d6033e4e9a69b6025b73aff41,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-12.csv,2867727,7610b974ed0bb88ff13fa332376eb401029623d01d17151b5dbdf5c14c75a7b0,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-13.csv,2869292,83cd5c63d294444d8c3b45f954259e1c46d9ac1f7036c5a52623e93c09449657,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-14.csv,2867624,262bfd3f3ac9a70fc1aac71a5c3c00ab54e2f960350344df11e0d4b4d928cabf,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-15.csv,2867752,b303b953000e68f5f979847935621b5fc8ca7c679779c84402e26ae57f20ab5a,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-16.csv,2866434,91b3e16ea701175fa8d64b3b5ffd0984a364def92716ee2aff179542469664c6,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-17.csv,2868683,598dddb5d6404742b9c4bd17a8cbfc4c53e79b65351cf886917973ff1d7609ec,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-18.csv,2867680,606497e10cdcba979e110316cb9298670c2cf652af2ce0fc0d9ef379a69858aa,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-19.csv,2868554,6f1ae4749a50831fb0163872dc9e7ef0a68ea2e676993fe71a54fa0f4229151e,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-20.csv,2867765,8d3eb83f127af86e07e8f91a91a7492e3ca5ef4db258f7f091a92a4011a10bad,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-21.csv,2867250,65657156116cab43f53738b146fe70b931a11532ebf016c5831a33ba950c19b5,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-22.csv,2868455,6f74d1dd321d436df892d8e1f3bd7198196ba019d9074916e5dc8d3d477f4fc6,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-23.csv,2866488,0038ce054282ba0ffe34b43f92588892d31fd7171561cc7fa1e39d0a1d5f86f1,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-24.csv,2865599,e5626564664e99e784d554fc446e1b6379fcc2a1f40209c1adf4f9a56560ae62,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-25.csv,2868959,3fc09d6a7c7e65271a19474bf43ea7222b1c393137f87a26aaafe7d26081d3e8,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-26.csv,2867895,8f80fe5042a642340d1f05d3de22b85baf40747b9122791d18d24e56776db33f,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-27.csv,2868274,91c23d224bdecbc2754d9d78832397d6f40260cb87bee7491383cb21f74af0ad,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-28.csv,2867801,dd0feadec1a1cb2032c9bf388a5856a8af9986661984846434611b8f6be11809,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-29.csv,2869207,45feef82a5595608c6e4844f1a824d05b95af2d676d18c0c99997a59c8e9fae1,2026-07-23T08:26:14+00:00
batch\transactions\transactions_2026-01-30.csv,2869096,524994fd6aa4ec568aa1f862c7e0497450b820f0ce4889017b0c936b0ca80f60,2026-07-23T08:26:14+00:00
reference\branches.csv,2521,4ac23829f31d77f40da5e7feba15d5f35926c82743f9f24cf1e90f922777eedd,2026-07-23T08:26:14+00:00
