settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-14,BRANCH,DEP,615,15021095.33,31391.27,NPR,SETTLE-20260114-BRANCH-DEP
2026-01-14,BRANCH,POS,942,22874600.74,46198.78,NPR,SETTLE-20260114-BRANCH-POS
2026-01-14,MOBILE,DEP,572,13693441.75,27322.01,NPR,SETTLE-20260114-MOBILE-DEP
2026-01-14,CARD,WDR,610,15238004.45,27706.5,NPR,SETTLE-20260114-CARD-WDR
2026-01-14,ATM,WDR,598,14811763.77,28062.66,NPR,SETTLE-20260114-ATM-WDR
2026-01-14,CARD,POS,914,23622314.73,46720.7,NPR,SETTLE-20260114-CARD-POS
2026-01-14,BRANCH,TRF,750,18646345.87,37929.65,NPR,SETTLE-20260114-BRANCH-TRF
2026-01-14,WALLET,POS,902,22942092.78,44879.24,NPR,SETTLE-20260114-WALLET-POS
2026-01-14,INTERNET_BANKING,DEP,580,14388477.71,30021.33,NPR,SETTLE-20260114-INTERNET_BANKING-DEP
2026-01-14,MOBILE,WDR,620,15640942.64,31680.6,NPR,SETTLE-20260114-MOBILE-WDR
2026-01-14,MOBILE,TRF,755,18746249.86,37311.68,NPR,SETTLE-20260114-MOBILE-TRF
2026-01-14,ATM,POS,889,21951302.74,43112.42,NPR,SETTLE-20260114-ATM-POS
2026-01-14,INTERNET_BANKING,POS,861,20761609.78,40078.76,NPR,SETTLE-20260114-INTERNET_BANKING-POS
2026-01-14,INTERNET_BANKING,TRF,790,19347494.91,39840.13,NPR,SETTLE-20260114-INTERNET_BANKING-TRF
2026-01-14,WALLET,WDR,596,14810914.63,29305.84,NPR,SETTLE-20260114-WALLET-WDR
2026-01-14,WALLET,FEE,142,3583771.78,7534.33,NPR,SETTLE-20260114-WALLET-FEE
2026-01-14,CARD,DEP,571,14414848.58,29495.79,NPR,SETTLE-20260114-CARD-DEP
2026-01-14,INTERNET_BANKING,FEE,141,3399490.64,7141.86,NPR,SETTLE-20260114-INTERNET_BANKING-FEE
2026-01-14,ATM,FEE,138,3862297.3,7771.66,NPR,SETTLE-20260114-ATM-FEE
2026-01-14,BRANCH,WDR,610,14793202.41,30244.41,NPR,SETTLE-20260114-BRANCH-WDR
2026-01-14,WALLET,TRF,711,18149732.07,36738.65,NPR,SETTLE-20260114-WALLET-TRF
2026-01-14,ATM,TRF,785,19985522.48,37993.68,NPR,SETTLE-20260114-ATM-TRF
2026-01-14,CARD,FEE,164,4146004.2,8484.61,NPR,SETTLE-20260114-CARD-FEE
2026-01-14,WALLET,DEP,559,13622985.42,28447.88,NPR,SETTLE-20260114-WALLET-DEP
2026-01-14,BRANCH,FEE,152,3859475.08,7046.5,NPR,SETTLE-20260114-BRANCH-FEE
2026-01-14,ATM,DEP,629,15697439.6,32086.22,NPR,SETTLE-20260114-ATM-DEP
2026-01-14,CARD,TRF,765,18644207.24,38687.17,NPR,SETTLE-20260114-CARD-TRF
2026-01-14,INTERNET_BANKING,WDR,616,15330751.75,28776.67,NPR,SETTLE-20260114-INTERNET_BANKING-WDR
2026-01-14,MOBILE,POS,886,22020638.92,42529.0,NPR,SETTLE-20260114-MOBILE-POS
2026-01-14,MOBILE,FEE,152,3864517.86,8924.66,NPR,SETTLE-20260114-MOBILE-FEE
