settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-03,WALLET,WDR,589,15213321.41,28935.48,NPR,SETTLE-20260103-WALLET-WDR
2026-01-03,CARD,WDR,616,14916284.63,31743.72,NPR,SETTLE-20260103-CARD-WDR
2026-01-03,ATM,DEP,597,14857510.36,30016.96,NPR,SETTLE-20260103-ATM-DEP
2026-01-03,ATM,TRF,740,18653220.32,38080.92,NPR,SETTLE-20260103-ATM-TRF
2026-01-03,ATM,WDR,592,14921522.12,29861.71,NPR,SETTLE-20260103-ATM-WDR
2026-01-03,INTERNET_BANKING,FEE,156,4061299.83,9241.82,NPR,SETTLE-20260103-INTERNET_BANKING-FEE
2026-01-03,INTERNET_BANKING,WDR,587,14621388.25,27854.47,NPR,SETTLE-20260103-INTERNET_BANKING-WDR
2026-01-03,INTERNET_BANKING,TRF,795,20562594.03,41377.7,NPR,SETTLE-20260103-INTERNET_BANKING-TRF
2026-01-03,CARD,POS,912,22962482.98,47195.06,NPR,SETTLE-20260103-CARD-POS
2026-01-03,BRANCH,WDR,568,13932577.26,28457.38,NPR,SETTLE-20260103-BRANCH-WDR
2026-01-03,WALLET,TRF,740,18818887.08,36608.62,NPR,SETTLE-20260103-WALLET-TRF
2026-01-03,INTERNET_BANKING,POS,908,23299229.56,48527.6,NPR,SETTLE-20260103-INTERNET_BANKING-POS
2026-01-03,BRANCH,TRF,755,19692675.39,37563.46,NPR,SETTLE-20260103-BRANCH-TRF
2026-01-03,MOBILE,TRF,774,19355519.78,39144.84,NPR,SETTLE-20260103-MOBILE-TRF
2026-01-03,WALLET,POS,888,22531060.63,44108.34,NPR,SETTLE-20260103-WALLET-POS
2026-01-03,ATM,POS,928,23154950.64,47532.82,NPR,SETTLE-20260103-ATM-POS
2026-01-03,INTERNET_BANKING,DEP,617,15288444.28,30755.69,NPR,SETTLE-20260103-INTERNET_BANKING-DEP
2026-01-03,BRANCH,POS,900,23283553.68,46041.28,NPR,SETTLE-20260103-BRANCH-POS
2026-01-03,MOBILE,POS,895,22103552.92,48843.74,NPR,SETTLE-20260103-MOBILE-POS
2026-01-03,BRANCH,DEP,606,14857464.06,29058.99,NPR,SETTLE-20260103-BRANCH-DEP
2026-01-03,ATM,FEE,171,4042445.34,7935.26,NPR,SETTLE-20260103-ATM-FEE
2026-01-03,CARD,FEE,154,3759497.48,8078.67,NPR,SETTLE-20260103-CARD-FEE
2026-01-03,WALLET,DEP,627,16121178.12,32898.31,NPR,SETTLE-20260103-WALLET-DEP
2026-01-03,MOBILE,DEP,632,15996264.86,32366.73,NPR,SETTLE-20260103-MOBILE-DEP
2026-01-03,WALLET,FEE,141,3529099.91,7134.6,NPR,SETTLE-20260103-WALLET-FEE
2026-01-03,CARD,TRF,755,18440487.42,35691.23,NPR,SETTLE-20260103-CARD-TRF
2026-01-03,CARD,DEP,571,14607116.94,29176.38,NPR,SETTLE-20260103-CARD-DEP
2026-01-03,MOBILE,WDR,547,13517078.72,28533.25,NPR,SETTLE-20260103-MOBILE-WDR
2026-01-03,BRANCH,FEE,154,3874277.15,8447.05,NPR,SETTLE-20260103-BRANCH-FEE
2026-01-03,MOBILE,FEE,128,3219204.22,5190.98,NPR,SETTLE-20260103-MOBILE-FEE
