settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-23,ATM,POS,935,22592615.99,43042.48,NPR,SETTLE-20260123-ATM-POS
2026-01-23,INTERNET_BANKING,POS,873,21789535.11,45205.47,NPR,SETTLE-20260123-INTERNET_BANKING-POS
2026-01-23,WALLET,DEP,564,13612332.33,26978.68,NPR,SETTLE-20260123-WALLET-DEP
2026-01-23,MOBILE,TRF,794,19502022.93,40477.16,NPR,SETTLE-20260123-MOBILE-TRF
2026-01-23,MOBILE,POS,929,23016234.29,45911.54,NPR,SETTLE-20260123-MOBILE-POS
2026-01-23,BRANCH,POS,892,22128718.96,43003.24,NPR,SETTLE-20260123-BRANCH-POS
2026-01-23,CARD,TRF,766,18415127.49,38899.94,NPR,SETTLE-20260123-CARD-TRF
2026-01-23,MOBILE,DEP,601,15342041.47,32985.82,NPR,SETTLE-20260123-MOBILE-DEP
2026-01-23,CARD,WDR,628,15685029.15,29651.11,NPR,SETTLE-20260123-CARD-WDR
2026-01-23,INTERNET_BANKING,TRF,715,18193450.08,37463.03,NPR,SETTLE-20260123-INTERNET_BANKING-TRF
2026-01-23,WALLET,POS,906,22059321.51,43027.68,NPR,SETTLE-20260123-WALLET-POS
2026-01-23,CARD,POS,909,22242004.85,45890.76,NPR,SETTLE-20260123-CARD-POS
2026-01-23,ATM,TRF,740,18920329.68,39966.9,NPR,SETTLE-20260123-ATM-TRF
2026-01-23,WALLET,WDR,590,15394028.65,29033.29,NPR,SETTLE-20260123-WALLET-WDR
2026-01-23,INTERNET_BANKING,FEE,142,3562708.74,7015.61,NPR,SETTLE-20260123-INTERNET_BANKING-FEE
2026-01-23,BRANCH,WDR,556,13308618.82,27577.5,NPR,SETTLE-20260123-BRANCH-WDR
2026-01-23,ATM,DEP,596,14715442.27,29387.67,NPR,SETTLE-20260123-ATM-DEP
2026-01-23,CARD,DEP,606,15512276.13,31321.57,NPR,SETTLE-20260123-CARD-DEP
2026-01-23,CARD,FEE,160,3862051.78,6681.55,NPR,SETTLE-20260123-CARD-FEE
2026-01-23,WALLET,TRF,780,19099500.88,36649.37,NPR,SETTLE-20260123-WALLET-TRF
2026-01-23,MOBILE,WDR,585,13584770.59,27415.4,NPR,SETTLE-20260123-MOBILE-WDR
2026-01-23,ATM,FEE,163,3942204.4,8481.38,NPR,SETTLE-20260123-ATM-FEE
2026-01-23,BRANCH,TRF,754,19379636.66,37632.72,NPR,SETTLE-20260123-BRANCH-TRF
2026-01-23,ATM,WDR,600,15723891.25,30787.97,NPR,SETTLE-20260123-ATM-WDR
2026-01-23,INTERNET_BANKING,WDR,602,14935410.95,26913.07,NPR,SETTLE-20260123-INTERNET_BANKING-WDR
2026-01-23,INTERNET_BANKING,DEP,594,15070347.58,29064.54,NPR,SETTLE-20260123-INTERNET_BANKING-DEP
2026-01-23,BRANCH,FEE,151,4086301.55,8404.74,NPR,SETTLE-20260123-BRANCH-FEE
2026-01-23,BRANCH,DEP,638,16104163.58,32573.15,NPR,SETTLE-20260123-BRANCH-DEP
2026-01-23,WALLET,FEE,164,4359864.37,9718.53,NPR,SETTLE-20260123-WALLET-FEE
2026-01-23,MOBILE,FEE,152,3549351.34,7613.46,NPR,SETTLE-20260123-MOBILE-FEE
