settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-05,CARD,TRF,771,19473460.8,40250.05,NPR,SETTLE-20260105-CARD-TRF
2026-01-05,INTERNET_BANKING,DEP,596,15579475.7,30676.5,NPR,SETTLE-20260105-INTERNET_BANKING-DEP
2026-01-05,WALLET,POS,886,22511312.9,43548.57,NPR,SETTLE-20260105-WALLET-POS
2026-01-05,ATM,POS,951,23531400.94,47708.86,NPR,SETTLE-20260105-ATM-POS
2026-01-05,CARD,WDR,534,12915199.35,26746.07,NPR,SETTLE-20260105-CARD-WDR
2026-01-05,WALLET,WDR,630,15602380.24,30973.07,NPR,SETTLE-20260105-WALLET-WDR
2026-01-05,BRANCH,DEP,588,15212363.84,27710.63,NPR,SETTLE-20260105-BRANCH-DEP
2026-01-05,BRANCH,TRF,769,18480888.96,36093.89,NPR,SETTLE-20260105-BRANCH-TRF
2026-01-05,CARD,POS,885,21870746.73,43899.4,NPR,SETTLE-20260105-CARD-POS
2026-01-05,MOBILE,TRF,739,18113710.24,36379.41,NPR,SETTLE-20260105-MOBILE-TRF
2026-01-05,WALLET,TRF,750,19158921.11,39088.72,NPR,SETTLE-20260105-WALLET-TRF
2026-01-05,CARD,DEP,630,15917163.52,32515.6,NPR,SETTLE-20260105-CARD-DEP
2026-01-05,MOBILE,WDR,587,15216766.24,29265.91,NPR,SETTLE-20260105-MOBILE-WDR
2026-01-05,BRANCH,FEE,132,3010469.38,6863.39,NPR,SETTLE-20260105-BRANCH-FEE
2026-01-05,WALLET,DEP,604,14669586.17,30383.03,NPR,SETTLE-20260105-WALLET-DEP
2026-01-05,BRANCH,POS,866,21394696.91,46352.46,NPR,SETTLE-20260105-BRANCH-POS
2026-01-05,BRANCH,WDR,654,16536684.77,32608.61,NPR,SETTLE-20260105-BRANCH-WDR
2026-01-05,INTERNET_BANKING,WDR,576,14363292.62,28330.06,NPR,SETTLE-20260105-INTERNET_BANKING-WDR
2026-01-05,ATM,TRF,729,17619685.01,36998.46,NPR,SETTLE-20260105-ATM-TRF
2026-01-05,ATM,DEP,582,14914577.67,29768.3,NPR,SETTLE-20260105-ATM-DEP
2026-01-05,MOBILE,POS,907,23762070.8,46387.73,NPR,SETTLE-20260105-MOBILE-POS
2026-01-05,ATM,WDR,658,17001393.71,33035.86,NPR,SETTLE-20260105-ATM-WDR
2026-01-05,INTERNET_BANKING,FEE,139,3594730.51,7433.7,NPR,SETTLE-20260105-INTERNET_BANKING-FEE
2026-01-05,MOBILE,DEP,602,15419196.35,29567.08,NPR,SETTLE-20260105-MOBILE-DEP
2026-01-05,INTERNET_BANKING,TRF,723,17384093.34,34141.19,NPR,SETTLE-20260105-INTERNET_BANKING-TRF
2026-01-05,INTERNET_BANKING,POS,881,21302495.05,42342.13,NPR,SETTLE-20260105-INTERNET_BANKING-POS
2026-01-05,MOBILE,FEE,151,3919065.15,7098.92,NPR,SETTLE-20260105-MOBILE-FEE
2026-01-05,ATM,FEE,140,3475946.6,6005.78,NPR,SETTLE-20260105-ATM-FEE
2026-01-05,CARD,FEE,159,3655073.03,8774.38,NPR,SETTLE-20260105-CARD-FEE
2026-01-05,WALLET,FEE,160,3854091.47,8291.41,NPR,SETTLE-20260105-WALLET-FEE
