settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-12,BRANCH,POS,904,22179273.22,45468.22,NPR,SETTLE-20260112-BRANCH-POS
2026-01-12,WALLET,DEP,640,16648474.53,31052.67,NPR,SETTLE-20260112-WALLET-DEP
2026-01-12,BRANCH,DEP,609,14929349.55,28514.69,NPR,SETTLE-20260112-BRANCH-DEP
2026-01-12,MOBILE,WDR,590,14981988.71,30283.62,NPR,SETTLE-20260112-MOBILE-WDR
2026-01-12,CARD,TRF,734,18326581.35,35738.87,NPR,SETTLE-20260112-CARD-TRF
2026-01-12,INTERNET_BANKING,TRF,792,19928883.56,40079.29,NPR,SETTLE-20260112-INTERNET_BANKING-TRF
2026-01-12,INTERNET_BANKING,WDR,602,14974826.36,30133.05,NPR,SETTLE-20260112-INTERNET_BANKING-WDR
2026-01-12,WALLET,FEE,152,3862291.58,8442.62,NPR,SETTLE-20260112-WALLET-FEE
2026-01-12,MOBILE,POS,858,22157289.03,43235.44,NPR,SETTLE-20260112-MOBILE-POS
2026-01-12,ATM,FEE,168,4117283.48,7539.14,NPR,SETTLE-20260112-ATM-FEE
2026-01-12,WALLET,POS,945,24111144.64,45777.19,NPR,SETTLE-20260112-WALLET-POS
2026-01-12,ATM,DEP,612,15281008.57,28707.08,NPR,SETTLE-20260112-ATM-DEP
2026-01-12,INTERNET_BANKING,DEP,586,15098029.41,29990.85,NPR,SETTLE-20260112-INTERNET_BANKING-DEP
2026-01-12,WALLET,TRF,676,16813490.34,35276.2,NPR,SETTLE-20260112-WALLET-TRF
2026-01-12,INTERNET_BANKING,FEE,146,3622756.95,7189.8,NPR,SETTLE-20260112-INTERNET_BANKING-FEE
2026-01-12,CARD,WDR,586,14435112.78,32971.64,NPR,SETTLE-20260112-CARD-WDR
2026-01-12,ATM,WDR,627,15505887.48,32259.38,NPR,SETTLE-20260112-ATM-WDR
2026-01-12,INTERNET_BANKING,POS,885,22405499.79,44998.73,NPR,SETTLE-20260112-INTERNET_BANKING-POS
2026-01-12,MOBILE,TRF,734,18885877.5,37521.83,NPR,SETTLE-20260112-MOBILE-TRF
2026-01-12,CARD,POS,904,22150592.73,42958.17,NPR,SETTLE-20260112-CARD-POS
2026-01-12,BRANCH,TRF,710,17753236.61,34927.52,NPR,SETTLE-20260112-BRANCH-TRF
2026-01-12,MOBILE,DEP,606,14653562.62,28518.43,NPR,SETTLE-20260112-MOBILE-DEP
2026-01-12,CARD,DEP,584,14955885.52,30126.26,NPR,SETTLE-20260112-CARD-DEP
2026-01-12,WALLET,WDR,632,15179979.45,31235.45,NPR,SETTLE-20260112-WALLET-WDR
2026-01-12,BRANCH,FEE,156,3736569.0,7516.98,NPR,SETTLE-20260112-BRANCH-FEE
2026-01-12,MOBILE,FEE,160,4109962.67,8757.09,NPR,SETTLE-20260112-MOBILE-FEE
2026-01-12,BRANCH,WDR,598,14758294.86,30153.74,NPR,SETTLE-20260112-BRANCH-WDR
2026-01-12,ATM,POS,873,22501275.45,45076.59,NPR,SETTLE-20260112-ATM-POS
2026-01-12,ATM,TRF,772,18810205.22,40526.12,NPR,SETTLE-20260112-ATM-TRF
2026-01-12,CARD,FEE,149,3745508.93,8020.55,NPR,SETTLE-20260112-CARD-FEE
