settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-06,CARD,TRF,689,17510869.28,33790.47,NPR,SETTLE-20260106-CARD-TRF
2026-01-06,WALLET,DEP,616,15241916.95,28605.28,NPR,SETTLE-20260106-WALLET-DEP
2026-01-06,CARD,POS,922,22837070.37,43910.08,NPR,SETTLE-20260106-CARD-POS
2026-01-06,WALLET,FEE,142,3414904.98,5518.0,NPR,SETTLE-20260106-WALLET-FEE
2026-01-06,BRANCH,POS,892,21930492.48,45407.64,NPR,SETTLE-20260106-BRANCH-POS
2026-01-06,WALLET,TRF,755,19055486.68,37763.77,NPR,SETTLE-20260106-WALLET-TRF
2026-01-06,WALLET,WDR,613,15835787.23,29200.11,NPR,SETTLE-20260106-WALLET-WDR
2026-01-06,MOBILE,DEP,616,15478938.32,28407.33,NPR,SETTLE-20260106-MOBILE-DEP
2026-01-06,ATM,DEP,615,15541490.67,31212.59,NPR,SETTLE-20260106-ATM-DEP
2026-01-06,ATM,FEE,143,3818166.79,7407.64,NPR,SETTLE-20260106-ATM-FEE
2026-01-06,MOBILE,FEE,149,3563855.63,8354.27,NPR,SETTLE-20260106-MOBILE-FEE
2026-01-06,BRANCH,DEP,602,14569276.03,29248.38,NPR,SETTLE-20260106-BRANCH-DEP
2026-01-06,INTERNET_BANKING,WDR,638,15818611.33,32931.08,NPR,SETTLE-20260106-INTERNET_BANKING-WDR
2026-01-06,WALLET,POS,923,22974911.46,44405.27,NPR,SETTLE-20260106-WALLET-POS
2026-01-06,MOBILE,POS,926,23377201.2,47746.44,NPR,SETTLE-20260106-MOBILE-POS
2026-01-06,MOBILE,WDR,607,15458208.64,33683.02,NPR,SETTLE-20260106-MOBILE-WDR
2026-01-06,ATM,TRF,695,16910926.61,34472.09,NPR,SETTLE-20260106-ATM-TRF
2026-01-06,MOBILE,TRF,771,19309131.27,38795.56,NPR,SETTLE-20260106-MOBILE-TRF
2026-01-06,INTERNET_BANKING,DEP,606,15218042.28,30914.73,NPR,SETTLE-20260106-INTERNET_BANKING-DEP
2026-01-06,ATM,POS,899,22046644.02,42301.35,NPR,SETTLE-20260106-ATM-POS
2026-01-06,BRANCH,TRF,789,20305427.75,42204.49,NPR,SETTLE-20260106-BRANCH-TRF
2026-01-06,CARD,WDR,590,15021545.27,29717.41,NPR,SETTLE-20260106-CARD-WDR
2026-01-06,INTERNET_BANKING,TRF,764,19661020.14,39183.03,NPR,SETTLE-20260106-INTERNET_BANKING-TRF
2026-01-06,CARD,DEP,563,14060323.32,26849.76,NPR,SETTLE-20260106-CARD-DEP
2026-01-06,INTERNET_BANKING,POS,873,21908659.85,45584.94,NPR,SETTLE-20260106-INTERNET_BANKING-POS
2026-01-06,ATM,WDR,572,14055610.56,27880.29,NPR,SETTLE-20260106-ATM-WDR
2026-01-06,BRANCH,WDR,612,15312843.43,30350.88,NPR,SETTLE-20260106-BRANCH-WDR
2026-01-06,INTERNET_BANKING,FEE,160,3676195.9,7919.95,NPR,SETTLE-20260106-INTERNET_BANKING-FEE
2026-01-06,BRANCH,FEE,148,3947480.9,8178.52,NPR,SETTLE-20260106-BRANCH-FEE
2026-01-06,CARD,FEE,138,3508820.73,7734.12,NPR,SETTLE-20260106-CARD-FEE
