settlement_date,channel,transaction_type_code,settled_transaction_count,settled_gross_amount,settled_fee_amount,currency,settlement_batch_id
2026-01-13,WALLET,POS,911,22581333.4,44735.16,NPR,SETTLE-20260113-WALLET-POS
2026-01-13,CARD,DEP,636,15592752.28,33849.81,NPR,SETTLE-20260113-CARD-DEP
2026-01-13,INTERNET_BANKING,FEE,142,3645885.1,7446.93,NPR,SETTLE-20260113-INTERNET_BANKING-FEE
2026-01-13,ATM,FEE,146,3741247.9,7236.34,NPR,SETTLE-20260113-ATM-FEE
2026-01-13,ATM,WDR,610,15350402.05,29070.6,NPR,SETTLE-20260113-ATM-WDR
2026-01-13,BRANCH,POS,912,22424407.49,44671.02,NPR,SETTLE-20260113-BRANCH-POS
2026-01-13,BRANCH,DEP,608,15134460.01,27874.52,NPR,SETTLE-20260113-BRANCH-DEP
2026-01-13,MOBILE,POS,886,21615600.97,46896.79,NPR,SETTLE-20260113-MOBILE-POS
2026-01-13,INTERNET_BANKING,WDR,572,13995264.61,28502.57,NPR,SETTLE-20260113-INTERNET_BANKING-WDR
2026-01-13,BRANCH,TRF,762,19990255.0,40707.0,NPR,SETTLE-20260113-BRANCH-TRF
2026-01-13,CARD,TRF,729,18460861.37,36959.11,NPR,SETTLE-20260113-CARD-TRF
2026-01-13,MOBILE,WDR,576,14182058.09,29573.88,NPR,SETTLE-20260113-MOBILE-WDR
2026-01-13,MOBILE,DEP,572,14232205.48,30085.79,NPR,SETTLE-20260113-MOBILE-DEP
2026-01-13,WALLET,TRF,823,20216464.01,38528.13,NPR,SETTLE-20260113-WALLET-TRF
2026-01-13,CARD,POS,908,22120508.5,46828.25,NPR,SETTLE-20260113-CARD-POS
2026-01-13,ATM,DEP,566,13817762.15,28215.21,NPR,SETTLE-20260113-ATM-DEP
2026-01-13,INTERNET_BANKING,POS,929,23127161.94,48174.13,NPR,SETTLE-20260113-INTERNET_BANKING-POS
2026-01-13,ATM,POS,949,23710501.76,48966.66,NPR,SETTLE-20260113-ATM-POS
2026-01-13,BRANCH,WDR,602,14984780.76,29520.45,NPR,SETTLE-20260113-BRANCH-WDR
2026-01-13,INTERNET_BANKING,TRF,778,18966720.73,39477.76,NPR,SETTLE-20260113-INTERNET_BANKING-TRF
2026-01-13,MOBILE,TRF,748,18446470.04,36089.35,NPR,SETTLE-20260113-MOBILE-TRF
2026-01-13,ATM,TRF,713,17001652.59,32813.38,NPR,SETTLE-20260113-ATM-TRF
2026-01-13,WALLET,DEP,565,13909589.1,26931.66,NPR,SETTLE-20260113-WALLET-DEP
2026-01-13,INTERNET_BANKING,DEP,601,14900702.77,29486.81,NPR,SETTLE-20260113-INTERNET_BANKING-DEP
2026-01-13,CARD,WDR,619,15475570.58,32535.76,NPR,SETTLE-20260113-CARD-WDR
2026-01-13,WALLET,WDR,553,13393719.67,25507.39,NPR,SETTLE-20260113-WALLET-WDR
2026-01-13,BRANCH,FEE,153,3743931.53,7985.62,NPR,SETTLE-20260113-BRANCH-FEE
2026-01-13,MOBILE,FEE,122,3119516.48,6442.78,NPR,SETTLE-20260113-MOBILE-FEE
2026-01-13,WALLET,FEE,124,3337673.66,6431.84,NPR,SETTLE-20260113-WALLET-FEE
2026-01-13,CARD,FEE,143,3784905.82,7483.09,NPR,SETTLE-20260113-CARD-FEE
